id,parcel_id,inactive,name,rentable,type,primary_user,address_number,street,zip,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1461822237,10-F-198,f,Josh Gibson Field 1 First Base Dugout,f,Dugout,Department of Public Works,NA,,,https://tools.wprdc.org/images/pittsburgh/facilities/Josh_Gibson_Field_1_First_Base_Dugout.jpg,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.44959212,-79.97765539
1890556433,35-G-26,f,Beechview Senior and Community Center,f,Senior,CitiParks,1555,BROADWAY AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Beechview_Senior_and_Community_Center.jpg,Beechview,4,19,42003191600,5,19,6,4-28,40.41073294,-80.0243594
265695197,16-S-40,f,Vanucci Storage Building,f,Storage,CitiParks,NA,ORANGEWOOD AVE,15216,https://tools.wprdc.org/images/pittsburgh/facilities/Vanucci_Storage_Building.jpg,Beechview,4,19,42003191600,5,19,6,4-28,40.41505908,-80.01860942
1324672513,35-B-234,f,Firehouse 28,f,Firehouse,Department of Public Safety,1428,BEECHVIEW AVE,15216,https://tools.wprdc.org/images/pittsburgh/facilities/Firehouse_28.jpg,Beechview,4,19,42003191600,5,19,6,4-28,40.41312224,-80.02517411
571888198,16-S-40,f,Vanucci Field 1 Dugout Building,f,Dugout,CitiParks,NA,ORANGEWOOD AVE,15216,https://tools.wprdc.org/images/pittsburgh/facilities/Vanucci_Field_1_Dugout_Building.jpg,Beechview,4,19,42003191600,5,19,6,4-28,40.41464585,-80.01847379
2103063984,16-S-40,f,Vanucci Field 1 First Base Dugout,f,Dugout,Department of Public Works,NA,ORANGEWOOD AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Vanucci_Field_1_First_Base_Dugout.jpg,Beechview,4,19,42003191600,5,19,6,4-28,40.41458383,-80.01827364
1445688587,16-S-40,f,Vanucci Restrooms,f,Restrooms,CitiParks,NA,ORANGEWOOD AVE,15216,https://tools.wprdc.org/images/pittsburgh/facilities/Vanucci_Restrooms.jpg,Beechview,4,19,42003191600,5,19,6,4-28,40.41496837,-80.01860726
1607127051,34-D-20,f,McKinley Park Recreation and Senior Center,f,Senior,CitiParks,100,DELMONT AVE,15210,https://tools.wprdc.org/images/pittsburgh/facilities/McKinley_Park_Recreation_and_Senior_Center.jpg,Beltzhoover,4,18,42003562400,5,18,3,4-16,40.41367434,-80.00422232
1250016985,34-D-20,f,McKinley Park Concession Stand,f,Concession,CitiParks,NA,BAUSMAN ST,15210,https://tools.wprdc.org/images/pittsburgh/facilities/McKinley_Park_Concession_Stand.jpg,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41338964,-79.9975468
2013361410,34-D-20,f,Public Works McKinley Park Storage Garages,f,Storage,Department of Public Works,903,GEARING AVE,15210,https://tools.wprdc.org/images/pittsburgh/facilities/Public_Works_McKinley_Park_Storage_Garages.jpg,Beltzhoover,4,18,42003562400,5,18,3,4-16,40.41376243,-80.00492777
329219284,34-D-20,f,Public Works McKinley Park Service Building,f,Service,Department of Public Works,901,GEARING AVE,15210,https://tools.wprdc.org/images/pittsburgh/facilities/Public_Works_McKinley_Park_Service_Building.jpg,Beltzhoover,4,18,42003562400,5,18,3,4-16,40.41366615,-80.00512227
1976162345,34-D-20,f,McKinley Park Picnic Shelter,t,Shelter,Department of Public Works,NA,BAUSMAN ST,15210,https://tools.wprdc.org/images/pittsburgh/facilities/McKinley_Park_Picnic_Shelter.jpg,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41222469,-80.00059011
1957595237,34-D-20,f,McKinley Park Office,f,Office,CitiParks,441,BAUSMAN ST,15210,https://tools.wprdc.org/images/pittsburgh/facilities/McKinley_Park_Office.jpg,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.4128948,-79.99848063
1778261359,15-D-336,f,Warrington Recreation Center,t,Pool/Rec,CitiParks,326,E WARRINGTON AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Warrington_Recreation_Center.jpg,Beltzhoover,3,18,42003562400,5,18,3,4-5,40.42125678,-80.00095405
160770425,26-D-11,f,Bloomfield Deck Hockey Benches,f,Dugout,Department of Public Works,NA,,,https://tools.wprdc.org/images/pittsburgh/facilities/Bloomfield_Deck_Hockey_Benches.jpg,Bloomfield,7,8,42003080200,2,8,5,3-6,40.46260973,-79.95366307
1944325023,26-D-11,f,Bloomfield Pool Concession Stand,f,Concession,CitiParks,408,ELLA ST,15224,https://tools.wprdc.org/images/pittsburgh/facilities/Bloomfield_Pool_Concession_Stand.jpg,Bloomfield,7,8,42003080200,2,8,5,3-1,40.46219523,-79.95334867
